	x	y	z	pitch	roll	yaw
	 0.0000000e+00	 0.0000000e+00	 0.0000000e+00	 0.0000000e+00	 0.0000000e+00	 0.0000000e+00
	-2.2979386e-02	-4.7477616e-02	 1.0552768e-01	-2.0199031e-04	 5.1739579e-04	-5.4892123e-04
	-1.4767530e-02	-3.5080188e-02	 1.5850932e-01	-3.8768698e-04	 9.0940440e-04	-5.4179716e-04
	 3.4503736e-03	-2.5505017e-02	 1.6658250e-01	-5.7867710e-04	 5.8888761e-04	-2.0703673e-04
	-1.3259605e-02	-5.2553798e-02	 1.6406468e-01	-2.2424014e-04	 8.2095423e-04	-6.0851778e-04
	-2.9398469e-02	-6.7394598e-02	 2.1954284e-01	-5.3382591e-04	 1.2107078e-03	-8.8500912e-04
	-2.6160852e-02	-4.1744108e-02	 2.3603369e-01	-1.0452975e-03	 1.5141670e-03	-8.5989556e-04
	-3.6870970e-02	-4.6988265e-02	 2.5840141e-01	-1.8824767e-03	 9.4381134e-04	-9.3807491e-04
	-4.5315360e-02	-9.7459800e-02	 3.2572116e-01	-2.0994991e-03	 1.5902724e-03	-1.1946994e-03
	-4.8503486e-02	-9.2749087e-02	 3.7359974e-01	-2.4242296e-03	 1.3894778e-03	-1.4025072e-03
	-3.9605517e-02	-7.7678281e-02	 3.8014155e-01	-2.4343136e-03	 1.0323794e-03	-1.2716074e-03
	-4.2613862e-02	-7.5130631e-02	 3.5587908e-01	-2.1818579e-03	 8.5107239e-04	-1.2419737e-03
	-4.8627690e-02	-1.2296839e-01	 3.5725850e-01	-1.6977136e-03	 1.0495502e-03	-1.3484066e-03
	-5.0955103e-02	-1.1850765e-01	 3.9248920e-01	-1.6561911e-03	 1.1415760e-03	-1.4259367e-03
	-4.6766803e-02	-9.7081325e-02	 4.1714590e-01	-2.1163490e-03	 7.1010824e-04	-1.4905000e-03
	-5.8391832e-02	-1.1968226e-01	 4.0251962e-01	-2.0842607e-03	 8.1443200e-04	-1.6573787e-03
	-6.8030342e-02	-1.2621739e-01	 4.1505653e-01	-2.1974345e-03	 8.8603369e-04	-1.7740308e-03
	-7.7853094e-02	-1.1085492e-01	 4.2690568e-01	-2.5805947e-03	 9.4902922e-04	-1.9760118e-03
	-6.9219015e-02	-1.0123409e-01	 4.2676491e-01	-3.0483296e-03	 8.1042265e-04	-1.8722774e-03
	-8.5194157e-02	-1.3316519e-01	 4.2885061e-01	-3.1892032e-03	 9.5107018e-04	-2.1297780e-03
	-9.1098859e-02	-1.2257739e-01	 4.5785681e-01	-3.5925350e-03	 1.1421616e-03	-2.2537868e-03
	-9.4692310e-02	-9.7019865e-02	 4.7471301e-01	-3.8807227e-03	 5.5672788e-04	-2.2536954e-03
	-9.6133640e-02	-1.2189156e-01	 4.6406412e-01	-3.6884505e-03	 7.3585745e-04	-2.1791479e-03
	-9.3369643e-02	-1.0442680e-01	 4.8426817e-01	-3.5094086e-03	 6.0635886e-04	-2.0949736e-03
	-8.1689650e-02	-8.6518580e-02	 5.1739725e-01	-3.7326227e-03	 3.5042720e-04	-1.9779408e-03
	-9.6726807e-02	-1.0379842e-01	 4.9657040e-01	-3.5127494e-03	 2.4815781e-04	-2.1577179e-03
