	x	y	z	pitch	roll	yaw
	 1.3642202e-14	 0.0000000e+00	 0.0000000e+00	 0.0000000e+00	-7.7037198e-34	 0.0000000e+00
	 1.4899168e-02	-1.2057605e-02	-1.7537488e-02	 1.7278780e-05	-1.7910572e-04	 3.5767732e-04
	 2.7710232e-02	-9.0505597e-02	-8.5443520e-02	 3.0222906e-04	-2.2260310e-04	 4.7360293e-04
	 3.9102605e-02	-7.1346544e-02	-1.6047240e-01	 6.9604877e-04	-4.7254799e-04	 6.5085607e-04
	 5.0937340e-02	-7.3997744e-02	-1.5373194e-01	 6.3453404e-04	-6.1281176e-04	 7.8620287e-04
	 5.6945547e-02	-4.4967857e-02	-1.8061152e-01	 9.9104088e-04	-7.3309234e-04	 8.2618870e-04
	 6.0200173e-02	-6.5132310e-02	-1.8302143e-01	 1.3016596e-03	-8.1334338e-04	 8.9085135e-04
	 5.9631729e-02	-4.8954920e-02	-1.9473583e-01	 1.2721162e-03	-9.2931527e-04	 9.6397600e-04
	 7.1603852e-02	-5.8564124e-02	-2.0766364e-01	 1.6286556e-03	-1.1695584e-03	 1.0748077e-03
	 7.1267301e-02	-5.2917961e-02	-1.8590485e-01	 1.2211560e-03	-1.0660966e-03	 1.1081568e-03
	 6.5172432e-02	-5.4143139e-02	-1.8681287e-01	 1.5009682e-03	-1.0981541e-03	 1.0316171e-03
	 5.3853303e-02	-5.1020653e-02	-1.3440639e-01	 8.5208135e-04	-6.8147562e-04	 9.7801320e-04
	 4.9240547e-02	-1.9106489e-02	-6.5960505e-02	 5.2523174e-04	-7.7270528e-04	 8.6005355e-04
	 3.1992754e-02	-2.2586947e-02	 1.8622027e-02	-3.0892377e-04	-4.1869968e-04	 4.9805828e-04
	 3.9239934e-02	-4.2605423e-02	-2.2032263e-02	-1.1920544e-04	-4.7633936e-04	 7.8837312e-04
	 5.7294333e-02	-9.7613922e-02	-9.1166588e-02	 2.5417225e-04	-6.4884137e-04	 1.1171152e-03
	 6.5260481e-02	-9.3613594e-02	-1.6801318e-01	 9.9011027e-04	-8.2152656e-04	 1.3237440e-03
	 6.7366595e-02	-9.0735228e-02	-1.8135783e-01	 1.3186271e-03	-1.0744452e-03	 1.1231610e-03
	 6.7517730e-02	-6.0215217e-02	-1.9338068e-01	 1.4027475e-03	-1.0333681e-03	 1.2052485e-03
	 7.0703697e-02	-4.9287734e-02	-1.7217003e-01	 1.4512965e-03	-1.1696848e-03	 1.1718424e-03
	 5.8758946e-02	-1.8018369e-02	-7.7035372e-02	 6.5615048e-04	-8.0677729e-04	 1.1129492e-03
	 5.3079587e-02	-3.9324140e-02	-9.4650156e-02	 6.5850203e-04	-8.4116860e-04	 9.6795923e-04
	 6.3826433e-02	-1.0289013e-01	-1.4689787e-01	 1.0586489e-03	-1.0134856e-03	 1.0488301e-03
	 6.1666950e-02	-8.8322412e-02	-1.7053759e-01	 1.0472978e-03	-9.7580665e-04	 1.1218581e-03
	 6.5920652e-02	-7.0446751e-02	-1.7863927e-01	 9.4683379e-04	-1.1648947e-03	 1.1262676e-03
	 5.3536619e-02	-6.0167654e-02	-1.7582874e-01	 8.3041564e-04	-7.8137966e-04	 1.1132410e-03
	 5.4404381e-02	-5.0302568e-02	-2.0798575e-01	 1.1977474e-03	-1.0929028e-03	 1.0972847e-03
	 5.6359999e-02	-4.3610605e-02	-2.0245091e-01	 9.2928449e-04	-1.2536869e-03	 1.0422960e-03
	 5.1276492e-02	-3.1324516e-02	-2.3626417e-01	 1.2795379e-03	-1.3305945e-03	 1.0192616e-03
	 5.1813116e-02	-4.5554810e-02	-2.2004719e-01	 1.0417611e-03	-1.4284902e-03	 1.0484891e-03
	 3.9300854e-02	-2.8682115e-02	-2.2438518e-01	 1.1060567e-03	-1.4683389e-03	 8.2927181e-04
	 2.8077254e-02	-6.8465744e-03	-1.1223945e-01	 4.9000380e-04	-1.2676435e-03	 5.5499674e-04
	 3.1341393e-03	 3.6729095e-02	-2.9501876e-02	-1.7359078e-04	-4.7107009e-04	 3.6145030e-04
	-2.8970687e-03	 4.9171852e-02	 7.1571050e-02	-8.7864680e-04	 9.2190779e-05	 3.6223526e-04
	 1.4867141e-02	-2.2620073e-02	-2.2251124e-03	-1.4390005e-04	-1.9412546e-04	 9.1846927e-04
	 3.3667338e-02	-6.3520779e-02	-4.6621353e-02	 4.1009531e-04	-5.0637240e-04	 1.2209478e-03
	 4.0493621e-02	-3.7697442e-02	-9.9363454e-02	 8.2853675e-04	-8.4423705e-04	 1.3758442e-03
	 5.8155027e-02	-4.1678703e-02	-1.2276834e-01	 8.3827527e-04	-1.2523697e-03	 1.6104300e-03
	 4.8261110e-02	-2.2177418e-02	-1.6375446e-01	 9.4627957e-04	-1.0963242e-03	 1.6210333e-03
	 5.8597055e-02	-2.6959514e-02	-1.8050613e-01	 1.1927828e-03	-1.2209974e-03	 1.7563970e-03
	 5.9671138e-02	-1.5522114e-02	-1.8059321e-01	 7.7760487e-04	-1.0596414e-03	 1.8814408e-03
	 6.5872462e-02	-8.4558382e-04	-1.8939184e-01	 1.0552337e-03	-1.1954770e-03	 1.9679746e-03
	 6.7742339e-02	 1.7650088e-02	-1.1347108e-01	 6.1953973e-04	-9.9793244e-04	 1.8884723e-03
	 5.0206619e-02	 6.2722402e-02	-4.4826625e-02	 9.5374380e-04	-2.2801657e-04	 1.6745160e-03
	 5.7307709e-02	-5.8294525e-02	-6.8859889e-02	 1.6692183e-03	-4.2111942e-04	 1.8466751e-03
	 9.5653682e-02	-6.7623213e-02	-1.5262481e-01	 1.9645256e-03	-1.0580872e-03	 2.3938106e-03
	 1.1147407e-01	-8.9174226e-02	-2.0318298e-01	 2.3915765e-03	-1.2651842e-03	 2.6869783e-03
	 1.0875805e-01	-6.2767308e-02	-2.3831465e-01	 2.5980607e-03	-1.5065584e-03	 2.5443809e-03
	 1.1817420e-01	-5.1957899e-02	-2.4564799e-01	 2.6292615e-03	-1.5450926e-03	 3.0186108e-03
	 1.2427651e-01	-7.1763534e-02	-2.2097356e-01	 2.4396676e-03	-1.6456941e-03	 2.9416032e-03
	 1.0958353e-01	-1.6794467e-02	-1.6530194e-01	 1.6500521e-03	-1.5182652e-03	 2.5878777e-03
	 1.0312212e-01	-9.1809310e-03	-1.0423857e-01	 1.4419390e-03	-1.1443316e-03	 2.6334458e-03
