	x	y	z	pitch	roll	yaw
	 0.0000000e+00	 0.0000000e+00	 0.0000000e+00	 0.0000000e+00	 0.0000000e+00	 0.0000000e+00
	 2.5269377e-02	 7.4277862e-03	 5.4564737e-02	-4.9210889e-04	-5.2520637e-05	 3.3725912e-04
	 1.4972922e-02	-9.7587383e-02	 5.7010424e-02	-6.3032959e-04	-2.5148089e-04	 1.9092829e-04
	 2.3485263e-02	-1.1708182e-01	 2.0200483e-01	-1.6452677e-03	-3.6656585e-04	 4.0900737e-04
	 4.5794285e-02	-9.6371915e-02	 2.9974376e-01	-2.1228931e-03	-5.7991689e-04	 7.1891036e-04
	 6.2071731e-02	-6.0363296e-02	 3.3493971e-01	-2.3463374e-03	-9.0281658e-04	 8.8392442e-04
	 6.0358026e-02	-1.2516061e-01	 3.4679258e-01	-2.6590656e-03	-8.5126241e-04	 7.6688756e-04
	 6.2333757e-02	-1.3025756e-01	 3.7431388e-01	-2.8593750e-03	-5.5335773e-04	 9.6501329e-04
	 7.6482973e-02	-1.2285617e-01	 3.9936095e-01	-2.6892995e-03	-6.7420153e-04	 1.1729644e-03
	 8.8726829e-02	-9.8396585e-02	 4.1708511e-01	-2.8842182e-03	-6.6638853e-04	 1.2631978e-03
	 1.0071519e-01	-1.5176975e-01	 4.1673315e-01	-2.9503191e-03	-8.0360723e-04	 1.3662549e-03
	 8.1123446e-02	-1.5600496e-01	 4.4902325e-01	-3.1782825e-03	-4.4598609e-04	 1.1174203e-03
	 8.7794790e-02	-1.4449668e-01	 4.9247050e-01	-3.2247760e-03	-1.0176358e-03	 1.2156026e-03
	 7.6098173e-02	-1.7018769e-01	 4.6244423e-01	-3.1176208e-03	-1.0110947e-03	 1.1036723e-03
	 8.0910080e-02	-1.7542483e-01	 4.8065298e-01	-3.3875640e-03	-1.1847539e-03	 1.2294317e-03
	 7.2846053e-02	-1.6045253e-01	 4.5179122e-01	-3.4067720e-03	-1.2330800e-03	 1.3423855e-03
	 5.6613989e-02	-1.6155003e-01	 4.3887883e-01	-3.3510788e-03	-1.6267234e-03	 1.1549351e-03
	 5.3617372e-02	-1.4894356e-01	 4.2546221e-01	-3.2802823e-03	-1.5194548e-03	 1.2753032e-03
	 4.4174389e-02	-1.3679500e-01	 4.3561086e-01	-3.2537708e-03	-1.7665872e-03	 1.2034012e-03
	 3.1945400e-02	-1.5695093e-01	 4.4405911e-01	-3.4701206e-03	-1.8532511e-03	 1.1189004e-03
	 2.9058278e-02	-1.3940921e-01	 5.1340966e-01	-4.1299619e-03	-1.9046225e-03	 9.2453147e-04
