	x	y	z	pitch	roll	yaw
	 0.0000000e+00	-1.3879038e-14	 0.0000000e+00	 6.1629758e-33	 0.0000000e+00	 5.2041704e-18
	-4.1778620e-02	-6.1161800e-02	-2.4405699e-01	 1.9805339e-03	 5.9869436e-04	-8.4660480e-04
	-1.0112052e-01	-1.9746373e-02	-5.4808948e-01	 5.7217365e-03	 1.8184582e-03	-2.2878841e-03
	-5.6225363e-02	 6.4495552e-02	-2.2669529e-01	 3.1709951e-03	 9.8785345e-04	-1.8854295e-03
	-4.2614551e-02	 4.3319177e-02	-1.1019906e-02	 1.2534823e-03	 4.5816414e-04	-1.5441100e-03
	-4.9362189e-02	-3.8347291e-02	-1.1573718e-01	 1.6343354e-03	 6.4691265e-04	-1.3427377e-03
	-3.3273786e-02	-2.3360568e-02	-5.9169275e-02	 1.0871028e-03	 4.4667682e-04	-9.3099660e-04
	-2.2314236e-02	 1.6871946e-02	-1.9175346e-02	 1.1323466e-03	 4.2266509e-04	-8.1604227e-04
	-5.8644450e-02	-1.1357869e-02	-5.4472070e-02	 9.2704386e-04	 2.4908168e-04	-1.1441694e-03
	-6.0163989e-02	-5.3528131e-02	-6.6790997e-02	 9.2654161e-04	 3.6825267e-04	-1.2193266e-03
	-5.2293733e-02	-3.1675249e-02	-9.5871463e-04	 5.3851839e-04	 4.0951944e-04	-1.1243389e-03
	-5.0363144e-02	-2.2934500e-02	-4.9861230e-03	 2.9933549e-04	 1.9974189e-04	-9.7356840e-04
	-5.4930846e-02	-8.5133872e-02	-4.7016819e-02	 4.1980497e-04	 1.5031814e-04	-1.0040302e-03
	-5.0047838e-02	-3.6259616e-02	-6.4588905e-03	 3.2330598e-04	 4.3808919e-05	-9.7701791e-04
	-4.4027517e-02	-1.0475861e-02	 3.8060996e-02	-3.1023306e-04	 2.8783878e-05	-8.7876898e-04
	-6.0584697e-02	-7.6368683e-02	-3.6503791e-02	-7.6770836e-05	 3.3395690e-04	-9.1383107e-04
	-6.3353487e-02	-5.6231918e-02	 2.6180091e-03	-4.4739301e-04	 9.1587943e-05	-1.0568556e-03
	-4.8690547e-02	-1.4801871e-02	 7.7293596e-02	-5.2833393e-04	 1.7618142e-04	-9.2715433e-04
	-7.9036753e-02	-6.8338289e-02	-2.0520520e-02	-1.1265175e-04	-6.1552051e-05	-1.1472770e-03
	-7.7936612e-02	-9.2843130e-02	-1.1064485e-02	-2.1771652e-04	-1.5486505e-05	-1.1233069e-03
	-5.9188266e-02	-5.8634951e-02	 7.5064708e-02	-8.7511511e-04	-1.7890962e-06	-1.0269562e-03
	-6.3519507e-02	-4.1380463e-02	 7.5017965e-02	-1.1959615e-03	-9.6514053e-05	-9.8286259e-04
	-8.0729279e-02	-1.1159931e-01	 1.5175273e-02	-9.7452987e-04	-5.1528535e-05	-1.1624977e-03
	-8.0317191e-02	-7.7740731e-02	 3.1845242e-02	-1.4485363e-03	-2.8050249e-04	-1.1513170e-03
	-4.3360234e-02	-8.1237810e-02	 4.3363948e-02	-1.7869481e-03	-2.1775896e-05	-7.2974867e-04
	-2.2992889e-03	-1.2720134e-01	 1.4065995e-02	-1.8056608e-03	 6.7671996e-05	-6.8238977e-05
	 2.8508898e-02	-1.2018362e-01	 2.2977901e-02	-1.8941258e-03	 1.5017084e-04	 2.8339664e-04
	 5.1877036e-02	-1.0893466e-01	 6.2079072e-02	-2.4128622e-03	 3.6950523e-05	 6.0788175e-04
	 5.4907626e-02	-1.7201587e-01	-1.7385484e-02	-2.0424016e-03	 3.1105689e-04	 7.0497487e-04
	 6.0667232e-02	-1.6192090e-01	 1.0209115e-02	-2.5014678e-03	 3.3102313e-04	 7.3713597e-04
	 8.1802926e-02	-1.2792785e-01	 3.8407868e-02	-2.3548584e-03	 2.4459979e-04	 9.5736189e-04
	 8.5861205e-02	-1.5944626e-01	 4.6894841e-03	-2.5927374e-03	 1.4683348e-04	 9.6017370e-04
	 9.3371734e-02	-1.5390510e-01	 1.9471417e-02	-2.5566758e-03	 2.2241707e-04	 8.5906008e-04
	 9.5403235e-02	-1.7891608e-01	-4.2702712e-02	-2.1817192e-03	 3.6996352e-04	 1.1085353e-03
	 9.8514688e-02	-1.8086319e-01	-5.9885353e-02	-1.8918840e-03	 1.5429791e-04	 1.2581473e-03
	 1.2122802e-01	-1.4153288e-01	-1.0793783e-02	-2.2925006e-03	 3.2795664e-04	 1.3316331e-03
	 1.2426716e-01	-1.8849287e-01	-1.2513572e-01	-1.4795623e-03	 5.6519638e-04	 1.5081224e-03
	 1.3163670e-01	-1.6013468e-01	-1.0142926e-01	-1.8534754e-03	 4.7915435e-04	 1.2924092e-03
	 1.4560826e-01	-1.4048537e-01	-9.5887059e-02	-1.7204168e-03	 6.4564737e-04	 1.4506979e-03
	 1.5237100e-01	-1.9599531e-01	-1.0399046e-01	-1.7332852e-03	 1.0712165e-03	 1.2842457e-03
	 1.5487172e-01	-1.6226285e-01	-1.3547622e-01	-1.6321150e-03	 8.5236905e-04	 1.4812800e-03
	 1.5927108e-01	-1.6779232e-01	-1.2219236e-01	-1.7639448e-03	 8.9955673e-04	 1.5713123e-03
	 1.5777274e-01	-1.4980718e-01	-2.2516016e-01	-1.2790204e-03	 1.0455795e-03	 1.5902602e-03
	 1.4518228e-01	-1.0462645e-01	-2.3744948e-01	-1.1626288e-03	 1.1859682e-03	 1.5647279e-03
	 1.3424540e-01	-9.1279864e-02	-2.5904183e-01	-8.4207736e-04	 1.3223099e-03	 1.2960457e-03
	 1.3337239e-01	-4.1331208e-02	-2.4384083e-01	-4.2024391e-04	 1.1213828e-03	 9.4100987e-04
	 5.9992751e-02	-1.2528812e-01	-6.6586716e-01	 3.9625032e-03	 2.1286267e-03	-1.1268143e-04
	 3.5104041e-02	 9.4396406e-03	-1.0132178e+00	 8.0103449e-03	 2.6254870e-03	-1.1848622e-03
	 4.1073794e-02	 9.3461524e-03	-7.3959041e-01	 6.6427966e-03	 1.9431321e-03	-1.2630348e-03
	 2.7324180e-02	 5.8854441e-02	-4.1949183e-01	 3.0038573e-03	 1.7026032e-03	-1.2066157e-03
	 2.5912000e-02	-1.4024151e-02	-3.6273700e-01	 2.2146045e-03	 1.0552173e-03	-9.0387205e-04
	 2.3429389e-02	-1.5032787e-02	-3.9442781e-01	 2.9269939e-03	 6.8183411e-04	-6.4777228e-04
	 2.3346358e-02	 9.7184989e-03	-2.8807343e-01	 2.4260383e-03	 7.3092551e-04	-7.7225765e-04
	-7.5708772e-03	 7.8395992e-03	-3.5642955e-01	 2.4781324e-03	 8.1954238e-04	-1.1447171e-03
	-4.1507954e-03	-4.5930616e-02	-3.5291485e-01	 2.3810176e-03	 7.4559094e-04	-1.0800579e-03
	 1.8498098e-03	-1.3791753e-02	-3.0507794e-01	 2.1371285e-03	 7.1321323e-04	-1.0962778e-03
	 7.0416068e-03	 1.7570833e-02	-2.4683679e-01	 1.8137984e-03	 5.9660872e-04	-9.4229977e-04
	-5.9389763e-03	-4.4240948e-02	-3.3423714e-01	 2.0096201e-03	 6.1731295e-04	-9.1442501e-04
